2024-10-25 15:25:35.771064,######################################################################
2024-10-25 15:25:35.771620,### UKRAA: The Pico Muon Detector                                  ###
2024-10-25 15:25:35.774320,### S/W version: 0.1.3                                             ###
2024-10-25 15:25:35.774782,######################################################################
2024-10-25 15:25:35.775307,ID, Event, ADC(0-1024), EllapsedTime(mS), DeadTime(mS), Temperature(C), Pressure(hPa)
2024-10-25 15:33:55.198528,C,4,363,27617,31,25.6,1012.2
2024-10-25 15:33:55.199568,T,39,93,28211,32,25.6,1012.2
2024-10-25 15:33:56.210762,T,40,56,28655,34,25.6,1012.2
2024-10-25 15:33:56.212207,B,37,362,29281,31,25.6,1012.2
2024-10-25 15:33:56.213954,T,41,321,29281,34,25.6,1012.2
2024-10-25 15:33:56.214133,T,42,54,29327,34,25.6,1012.2
2024-10-25 15:33:57.221667,T,43,127,29610,36,25.6,1012.2
2024-10-25 15:33:57.223187,B,38,146,29631,33,25.6,1012.2
2024-10-25 15:33:57.223831,T,44,60,29753,36,25.6,1012.2
2024-10-25 15:33:57.224109,T,45,540,30066,36,25.6,1012.2
2024-10-25 15:33:57.227566,B,39,82,30369,33,25.6,1012.2
2024-10-25 15:33:58.240931,B,40,317,31134,34,25.6,1012.2
2024-10-25 15:33:59.251780,T,46,299,32281,39,25.6,1012.2
2024-10-25 15:33:59.253070,T,47,383,32411,39,25.6,1012.2
2024-10-25 15:34:00.261831,B,41,372,32671,36,25.6,1012.2
2024-10-25 15:34:00.262897,T,48,300,32671,42,25.6,1012.2
2024-10-25 15:34:00.263156,T,49,383,32845,42,25.6,1012.2
2024-10-25 15:34:00.264723,T,50,190,32918,42,25.6,1012.2
2024-10-25 15:34:00.266039,B,42,64,33244,36,25.6,1012.2
2024-10-25 15:34:00.266335,B,43,64,33494,36,25.6,1012.2
2024-10-25 15:34:02.291930,T,51,102,34569,44,25.6,1012.2
2024-10-25 15:34:02.293905,B,44,56,35135,36,25.6,1012.2
2024-10-25 15:34:02.295129,T,52,124,35417,44,25.6,1012.2
2024-10-25 15:34:03.311996,T,53,74,35631,49,25.6,1012.2
2024-10-25 15:34:03.312297,T,54,101,35854,49,25.6,1012.2
2024-10-25 15:34:03.313044,T,55,615,35900,49,25.6,1012.2
2024-10-25 15:34:03.313278,T,56,60,36084,49,25.6,1012.2
2024-10-25 15:34:03.313497,T,57,147,36126,49,25.6,1012.2
2024-10-25 15:34:03.314069,T,58,384,36268,49,25.6,1012.2
2024-10-25 15:34:03.314306,B,45,132,36462,37,25.6,1012.2
